Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. zaèetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip   štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlaèilci;Dnevni NOO;Tip
R2;414;1349;TUHINJ - LOÈICA;15.600;28.318;41;Loèica;QLTC10;1.680;62;1.328;7;205;34;18;6;20;36;PLDP
R2;415;1216;ŽELODNIK - KRTINA;0;1.000;;;P;5.000;50;4.358;30;400;75;45;17;25;78;PLDP
R2;415;1216;KRTINA - MORAVÈE;1.000;9.000;304;Krtina;QLTC10;6.663;51;5.905;35;478;70;49;22;53;101;PLDP
R2;415;1216;MORAVÈE - DRTIJA;9.000;11.080;;;P;2.400;45;2.035;10;190;50;40;15;15;128;WIM
R2;415;1217;DRTIJA - TRATA;0;7.080;;;P;2.250;28;2.022;10;100;30;30;10;20;68;DIST
R2;415;1217;TRATA - IZLAKE;7.080;15.089;305;Kandrše;QLTC8;1.299;28;1.109;7;93;19;14;7;22;50;WIM
R2;416;1346;LITIJA - ŠMARTNO;0;2.791;391;Litija;QLTC8;5.277;64;4.576;15;408;53;88;23;50;108;PLDP
R2;416;1347;ŠMARTNO - GRM;0;14.789;375;Èrni Potok;QLTC10;1.408;43;1.198;3;128;14;14;2;6;16;PLDP
R2;416;1425;GRM - RADOHOVA VAS;0;750;;;P;2.500;15;2.105;10;120;45;80;40;85;132;PLDP
R2;416;1348;RADOHOVA VAS - BIÈ;0;2.951;;;P;1.700;10;1.270;5;150;75;75;35;80;127;PLDP
R2;417;1190;ŠMARTNO PRI LITIJI - M.KOSTREVICA;0;1.500;284;Mala Kostrevnica;QLTC10;1.135;20;894;2;80;15;95;15;14;70;PLDP
R2;417;1190;M. KOSTREVICA - LJUBEŽ V LAZIH;1.500;8.339;;;P;900;15;765;2;60;15;40;1;2;26;PLDP
R2;417;1187;LJUBEŽ V LAZIH - MORAVÈE;0;6.310;282;Moravèe;QLTC10;1.050;20;924;3;80;6;13;2;2;12;PLDP
R2;417;4326;MORAVÈE - TIHABOJ-MIRNA;0;11.922;182;Tihaboj;MWTC1;980;6;839;0;104;3;25;2;1;15;PLDP
R2;418;1199;MOKRONOG - ZBURE;0;10.475;407;Zbure;QLTC10;1.386;21;1.162;11;103;20;41;11;17;47;PLDP
R2;418;1200;ZBURE - ŠKOCJAN;0;3.940;291;Škocjan 1;QLTC10;1.230;20;1.033;18;94;18;31;8;8;37;PLDP
R2;418;1201;ŠKOCJAN - DOBRUŠKA VAS;0;3.281;416;Dobruška vas;QLTC10;3.811;28;3.235;20;365;62;47;25;29;79;PLDP
R2;418;1202;DOBRUŠKA V. - ŠENTJERNEJ;0;5.704;293;Drama;QLTC8;3.216;22;2.758;4;275;52;45;24;36;73;PLDP
R2;419;1203;SOTESKA - STRAŽA;0;5.440;920;Dolenje Polje;QLTC10;3.502;45;2.999;24;259;34;56;34;51;99;PLDP
R2;419;1203;STRAŽA - NM DRSKA;5.440;12.230;294;Potok;QLTC10;5.254;47;4.702;47;366;25;35;13;19;63;PLDP
R2;419;1203;NM DRSKA - NM ŽABJA VAS;12.230;14.471;;;P;14.700;70;13.660;50;700;45;60;80;35;160;DIST
R2;419;1204;NOVO MESTO - RATEŽ;0;6.160;476;Ratež;QLTC10;4.271;45;3.671;44;318;58;74;28;33;127;WIM
R2;419;1204;RATEŽ - ŠENTJERNEJ;6.160;15.626;295;Mokro Polje;QLTC10;3.149;42;2.746;33;191;40;58;18;21;97;WIM
R2;419;1205;ŠENTJERNEJ - KOSTANJEVICA;0;7.000;683;Šentjernej;QLTC10;4.010;56;3.567;35;256;40;26;15;15;71;DIST
R2;419;1205;KOSTANJEVICA - KRIŽAJ;7.000;10.203;296;Malo Mraševo 2;QLTC10;3.231;61;2.765;34;246;41;46;17;21;90;DIST
R2;419;1206;KRIŽAJ - ÈATEŽ OB SAVI;0;12.868;297;Župeèa vas;QLTC10;2.772;44;2.416;31;198;24;34;12;13;65;DIST
R2;420;1335;BREŽICE - DOBOVA;0;4.500;368;Mostec;QLTC10;3.500;15;3.131;10;260;29;30;10;15;41;PLDP
R2;420;1335;DOBOVA - M.P. RIGONCE;4.500;6.813;676;MP Rigonce;QLTC10;1.180;17;1.078;4;69;7;2;2;1;6;PLDP
R2;421;2506;RUÈETNA VAS - ŠTREKLJEVEC;0;7.209;460;Semiè;QLTC10;2.800;25;2.398;25;226;36;39;16;35;70;PLDP
R2;421;2507;ŠTREKLJEVEC - JUGORJE;0;5.890;469;Osojnik;QLTC10;1.230;13;995;12;127;25;18;12;28;44;PLDP
R2;422;1333;PODSREDA - SENOVO;0;7.000;365;Veliki Kamen;QLTC10;1.159;19;1.020;13;68;17;11;6;5;21;PLDP
R2;422;1333;SENOVO - BRESTANICA;7.000;16.154;364;Senovo;QLTC8;5.233;38;4.747;20;307;37;45;19;20;64;PLDP
R2;423;1226;ŠENTJUR - ÈRNOLICA;0;2.330;757;Èrnolica;QLTC8;8.135;75;7.167;32;556;95;115;30;65;151;PLDP
R2;423;1281;ÈRNOLICA - LESIÈNO;0;18.149;271;Jelce;QLTC8;1.222;25;1.065;12;84;14;11;3;8;20;PLDP
R2;423;1282;LESIÈNO - ŠONOVO;0;3.300;292;Šonovo;MWTC1;1.450;20;1.214;14;120;30;35;2;15;40;PLDP
R2;423;1282;ŠONOVO - PODSREDA;3.300;10.020;333;Kozje;QLTC8;1.369;22;1.139;14;119;22;28;8;17;40;PLDP
R2;423;1283;PODSREDA - BISTRICA;0;6.720;335;Podsreda 2;MWTC1;1.200;25;962;10;108;20;35;25;15;51;PLDP
